rank,target_id,status,center_type,m0,Q,c_I,kappa,W_factor,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,Q_minus_5,jet_ratio,tail_drift_rel,quad_drift_rel,tail_edge
1,T001_gap_midpoint_897.926887,healthy,gap_midpoint,897.9268871122931,4.962211581108665,0.2,0.5,25.0,8,0.2491272189098058,0.5047189738309449,0.8676157385939856,0.4977025581632352,0.22261526235590465,3.323713721995e-04,1.497429080217e+03,0.009703272252014599,1.2255237830212877e-15,False
2,T002_large_gap_midpoint_897.926887,healthy,large_gap_midpoint,897.9268871122931,4.962211581108665,0.2,0.5,25.0,8,0.2491272189098058,0.5047189738309449,0.8676157385939856,0.4977025581632352,0.22261526235590465,3.323713721995e-04,1.497429080217e+03,0.009703272252014599,1.2255237830212877e-15,False
3,T003_gap_midpoint_897.926887,healthy,gap_midpoint,897.9268871122931,4.962211581108665,0.2,0.5,50.0,16,0.25156825416998113,0.507168518761195,0.8615286227695397,0.5001415317096357,0.22370587168473513,3.323713721995e-04,1.504767177751e+03,0.0010263316000082658,1.103301992821194e-15,False
4,T004_large_gap_midpoint_897.926887,healthy,large_gap_midpoint,897.9268871122931,4.962211581108665,0.2,0.5,50.0,16,0.25156825416998113,0.507168518761195,0.8615286227695397,0.5001415317096357,0.22370587168473513,3.323713721995e-04,1.504767177751e+03,0.0010263316000082658,1.103301992821194e-15,False
5,T005_gap_midpoint_897.926887,healthy,gap_midpoint,897.9268871122931,4.962211581108665,0.5,0.5,25.0,8,0.25679089644517805,0.5317720069560574,0.8487011042255528,0.4977025581632353,0.2239370120018359,3.323713721995e-04,1.497429080217e+03,0.009565161408947979,1.2970354946311463e-15,False
6,T006_large_gap_midpoint_897.926887,healthy,large_gap_midpoint,897.9268871122931,4.962211581108665,0.5,0.5,25.0,8,0.25679089644517805,0.5317720069560574,0.8487011042255528,0.4977025581632353,0.2239370120018359,3.323713721995e-04,1.497429080217e+03,0.009565161408947979,1.2970354946311463e-15,False
7,T007_gap_midpoint_1178.403764,healthy,gap_midpoint,1178.403763961795,5.234038992863128,0.2,0.5,25.0,8,0.24630479075714415,0.5020564377591026,0.8465440426366527,0.4950394953074891,0.2214184223862523,2.545746944905e-04,1.944574641632e+03,0.0109077266252127,3.944077350508599e-15,False
8,T008_large_gap_midpoint_1178.403764,healthy,large_gap_midpoint,1178.403763961795,5.234038992863128,0.2,0.5,25.0,8,0.24630479075714415,0.5020564377591026,0.8465440426366527,0.4950394953074891,0.2214184223862523,2.545746944905e-04,1.944574641632e+03,0.0109077266252127,3.944077350508599e-15,False
9,T009_gap_midpoint_897.926887,healthy,gap_midpoint,897.9268871122931,4.962211581108665,0.5,0.5,50.0,16,0.25927086410901823,0.534241680301039,0.8427010466426796,0.5001415317096356,0.22502209677427215,3.323713721995e-04,1.504767177751e+03,0.001011033948865898,1.2846291407718646e-15,False
10,T010_large_gap_midpoint_897.926887,healthy,large_gap_midpoint,897.9268871122931,4.962211581108665,0.5,0.5,50.0,16,0.25927086410901823,0.534241680301039,0.8427010466426796,0.5001415317096356,0.22502209677427215,3.323713721995e-04,1.504767177751e+03,0.001011033948865898,1.2846291407718646e-15,False
