center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
zero,14.134725141734695,2.8411071144470976,0.1,0.25,10.0,160,8,1,5135546.84384944,2935.1672955351164,-14.797728938419974,2015988.3014763175,2028356.9939831789,1.992489868989437e-07,4.171010384572768e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,0.25,25.0,160,8,2,5135545.820596934,2935.1670610685906,-14.797728747603857,2015988.3014772183,2028356.993983738,3.841851440661258e-08,4.171011215642527e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,0.25,50.0,160,8,4,5135545.623296893,2935.1670158540505,-14.797728710811345,2015988.3014766173,2028356.9939830734,6.9030051482153e-09,4.533708017268028e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,0.25,100.0,160,8,9,5135545.587846195,2935.167007729347,-14.797728704200498,2015988.3014765002,2028356.993982945,1.1322600356893643e-09,4.1710114046791005e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,0.5,10.0,160,8,1,115671.58081000544,366.9212145974618,-11.165082761686936,1475.5612117712878,1615.0704052928058,2.746904217660808e-06,1.635448367213854e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,0.5,25.0,160,8,2,115671.26307125225,366.92074642888775,-11.16508013103736,1475.5612118854897,1615.0702990398465,5.30194043339993e-07,1.5096487935195804e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,0.5,50.0,160,8,4,115671.20174303759,366.9206560535338,-11.165079623282782,1475.561211803306,1615.070278430918,9.530493972799453e-08,1.7612578595812694e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,0.5,100.0,160,8,9,115671.19071900068,366.92063980687595,-11.165079532011466,1475.5612117704554,1615.0702747094058,1.5634281162178146e-08,1.50964973780388e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.1,1.0,10.0,160,8,1,2022.2679751827811,45.86594256106972,-7.289810456989053,45.86620614182061,46.24096231649025,4.13772034821896e-05,3.3730496388246614e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.1,1.0,25.0,160,8,2,2022.1842993892765,45.865012308427225,-7.289770830188612,45.865275703867034,46.24003947690072,8.019789535260594e-06,4.497585615948091e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.1,1.0,50.0,160,8,4,2022.1680818967939,45.86483198668135,-7.289763149792833,45.865095360571445,46.23986059913069,1.4440538514141234e-06,6.746432528891131e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.1,1.0,100.0,160,8,9,2022.165161777187,45.86479951535266,-7.289761766855214,45.865062887183015,46.239828389027515,2.370097598523246e-07,4.497628180744718e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.25,10.0,160,8,1,2676365.249786822,2934.3577268714803,-14.173585504525784,138190319.37866822,138421480.73861408,1.912694127529716e-07,6.95960743541757e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.25,25.0,160,8,2,2676364.7378800125,2934.3574924518407,-14.17358532135152,138190319.37866855,138421480.7386144,3.688100636744508e-08,1.2179315341511241e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.25,50.0,160,8,4,2676364.6391729875,2934.357447242712,-14.173585286031441,138190319.37866887,138421480.73861474,6.626827140267686e-09,1.0439413534882854e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.25,100.0,160,8,9,2676364.6214371817,2934.357439118524,-14.173585279685083,138190319.3786688,138421480.73861468,1.0869640977611424e-09,1.2179315871406886e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.5,10.0,160,8,1,80242.91943514773,366.8959119418896,-10.814863820384693,251998.5376860844,253544.62424944036,3.183404816193026e-06,1.9948310534913263e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.5,25.0,160,8,2,80242.66398945154,366.8954438668587,-10.814860771707458,251998.53768602543,253544.62424870653,6.143754956630985e-07,1.994837403866325e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.5,50.0,160,8,4,80242.61469032508,366.89535350231756,-10.814860183334227,251998.53768606935,253544.62424861972,1.1043181015439828e-07,1.8134896631329972e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.5,100.0,160,8,9,80242.60582898789,366.89533725669065,-10.814860077576258,251998.5376860726,253544.62424859946,1.8115513696802815e-08,1.8134898633999655e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,1.0,10.0,160,8,1,1807.368450156337,45.865151824682755,-7.182217643651653,184.44515151016307,201.8838006975561,4.367494362094565e-05,5.032148822196477e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.2,1.0,25.0,160,8,2,1807.2895134411742,45.86422175730525,-7.182175816265606,184.44515150233093,201.88358951403725,8.463876587384663e-06,3.7742764579588683e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.2,1.0,50.0,160,8,4,1807.2742167657748,45.8640414571058,-7.182167710574533,184.44515151219636,201.88354856649067,1.5239222487423799e-06,5.032411204319195e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.2,1.0,100.0,160,8,9,1807.2714626203863,45.864008987836684,-7.182166251148704,184.44515152586655,201.88354120238307,2.501137589988134e-07,5.032418873334281e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.25,10.0,160,8,1,1255356.1623540581,2928.695953436402,-13.448585707478093,2144023572.100391,2145967521.767519,4.352275764339121e-08,3.1529864279261358e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.25,25.0,160,8,2,1255356.107717496,2928.6957191573506,-13.448585665797365,2144023572.1003914,2145967521.7675195,8.434775625909224e-09,3.1529865651528057e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.25,50.0,160,8,4,1255356.097128849,2928.6956739644515,-13.448585657719576,2144023572.1003923,2145967521.7675204,1.5187068413786173e-09,3.15298659174754e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.25,100.0,160,8,9,1255356.0952223311,2928.6956658418094,-13.448585656265148,2144023572.1003916,2145967521.7675197,2.492589844495541e-10,3.1529865965360027e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.5,10.0,160,8,1,34973.69278962626,366.7188340604002,-10.019549408133075,47267598.583818324,47330172.559082,2.4541299000382935e-06,4.784940101488389e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.5,25.0,160,8,2,34973.60695964107,366.71836626585866,-10.01954705786735,47267598.58381826,47330172.559081934,4.7398618534357446e-07,4.576910459843443e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.5,50.0,160,8,4,34973.59038263452,366.7182759337461,-10.019546603941752,47267598.583818235,47330172.55908191,8.522359607608149e-08,4.784954112383927e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.5,100.0,160,8,9,34973.58740205938,366.71825969121136,-10.019546522325102,47267598.58381824,47330172.55908192,1.3981579688497053e-08,4.784954520174958e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,1.0,10.0,160,8,1,1026.2646098476605,45.859616988052586,-6.6402241250791185,141907.7168069945,142423.68756721437,5.329644392058629e-05,2.65865555446153e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,1.0,25.0,160,8,2,1026.209913593434,45.858687476193666,-6.640173082960349,141907.7168069956,142423.6875669264,1.0321949277038029e-05,3.1019301353839562e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,1.0,50.0,160,8,4,1026.1993211067584,45.85850724061383,-6.640163197819777,141907.71680698192,142423.68756685546,1.8579840601355827e-06,3.101962153679966e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,1.0,100.0,160,8,9,1026.1974144447772,45.85847477752247,-6.6401614184702185,141907.71680698995,142423.68756685307,3.04917866695638e-07,2.880398780152132e-15,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.25,10.0,160,8,1,634340.222010032,2908.5495125689595,-12.794886016575315,2059443517.880185,2061084104.5994349,6.738283804364519e-09,2.034725640662585e-11,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.25,25.0,160,8,2,634340.2177356676,2908.549278523988,-12.794886010122218,2059443517.880185,2061084104.5994349,1.3940039043701217e-09,2.034744006563116e-11,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.25,50.0,160,8,4,634340.2168513949,2908.5492333581205,-12.794886008787213,2059443517.8801837,2061084104.5994334,2.5743240883911885e-10,2.0347073050195623e-11,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.25,100.0,160,8,9,634340.2166880951,2908.549225238056,-12.794886008540676,2059443517.8801854,2061084104.5994353,4.2564968359690996e-11,2.034744009923366e-11,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.5,10.0,160,8,1,19614.94003678212,366.086994179551,-9.465720589442807,268002946.51254386,268245940.22093484,6.785533669356691e-07,9.64442907365634e-15,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.5,25.0,160,8,2,19614.926726998518,366.08652685202514,-9.465719939607888,268002946.51254383,268245940.22093484,1.3370294257697604e-07,9.82990553364984e-15,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.5,50.0,160,8,4,19614.924104425096,366.08643657392736,-9.465719811563696,268002946.5125439,268245940.2209349,2.4234550334437596e-08,9.644436907410195e-15,healthy
zero,14.134725141734695,2.8411071144470976,1.0,0.5,100.0,160,8,9,19614.92362906623,366.08642033654456,-9.465719788354834,268002946.5125439,268245940.2209349,3.98536222821535e-09,9.644437141138792e-15,healthy
zero,14.134725141734695,2.8411071144470976,1.0,1.0,10.0,160,8,1,546.4639498379117,45.83985425755005,-6.036684290097794,5908449.822977193,5916271.569885152,3.890106358553534e-05,6.24122621933269e-16,healthy
zero,14.134725141734695,2.8411071144470976,1.0,1.0,25.0,160,8,2,546.4426918090519,45.83892567063488,-6.036647034733841,5908449.822976929,5916271.569884926,7.557768198946176e-06,8.321958692154492e-16,healthy
zero,14.134725141734695,2.8411071144470976,1.0,1.0,50.0,160,8,4,546.4385619218532,45.83874554268903,-6.036639796808544,5908449.8229769245,5916271.5698849205,1.362195017796103e-06,6.241516191048452e-16,healthy
zero,14.134725141734695,2.8411071144470976,1.0,1.0,100.0,160,8,9,546.4378175659666,45.838713089890526,-6.036638492265326,5908449.82297692,5916271.569884916,2.2363988195659907e-07,6.241524693222293e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.25,10.0,160,8,1,10078155.194032814,4111.781546841862,-13.94299614833723,2824133.230587248,2841460.134469465,1.1291075848478958e-06,5.544601507031175e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.25,25.0,160,8,3,10078142.533494817,4111.7794762576295,-13.942995062151594,2824133.2305879593,2841460.1344671836,5.080593256107765e-08,5.7294287547782906e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.25,50.0,160,8,5,10078142.021465387,4111.779392495663,-13.942995018223021,2824133.2305878983,2841460.134467002,7.7414919712182e-09,5.729429045867277e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.25,100.0,160,8,10,10078141.943445532,4111.779379731563,-13.942995011529458,2824133.230587062,2841460.134466149,1.041133557066046e-09,5.9142493834545595e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.5,10.0,160,8,1,226997.47045215085,514.0081390323589,-10.66327534856859,2067.0662877308973,2262.5002338953345,1.55314796617265e-05,2.5642427114947494e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.5,25.0,160,8,3,226993.54687763142,514.0040128347154,-10.663260403520953,2067.0662877881764,2262.4992967915705,7.011293477358436e-07,2.692501386045497e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.5,50.0,160,8,5,226993.38772579396,514.0038454155587,-10.663259797299975,2067.0662876858314,2262.499258660253,1.0688134506725944e-07,2.6925032738385613e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,0.5,100.0,160,8,10,226993.36346443536,514.0038198918495,-10.66325970488665,2067.0662878782355,2262.499253039029,1.4376104909068797e-08,2.5642891063018704e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,1.0,10.0,160,8,1,3968.5609181471264,64.25212509624016,-7.164500470935068,64.2524943380442,64.77747822194993,0.00023185378383038186,1.0312872203279716e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.1,1.0,25.0,160,8,3,3967.53586189626,64.2439910507957,-7.164277111962335,64.24435821008721,64.7694091385035,1.0605119988931987e-05,9.169365908019693e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.1,1.0,50.0,160,8,5,3967.4937857023842,64.2436570489698,-7.164267942358938,64.2440241671669,64.76907781145319,1.6195805934951e-06,9.169463151276646e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.1,1.0,100.0,160,8,10,3967.487360026444,64.24360603747827,-7.164266542012219,64.24397315236935,64.76902721073684,2.1795867973763372e-07,6.877108501488955e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.25,10.0,160,8,1,5252181.542375001,4110.647448115325,-13.37949062024786,193586377.8658551,193910204.38695797,1.0838190371941508e-06,2.482495309695776e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.25,25.0,160,8,3,5252175.208995496,4110.64537806759,-13.379489577621483,193586377.86585432,193910204.38695717,4.8772606656660356e-08,2.482498303233556e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.25,50.0,160,8,5,5252174.95283322,4110.645294315946,-13.379489535450993,193586377.8658545,193910204.38695735,7.431761197921159e-09,2.3051771082892276e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.25,100.0,160,8,10,5252174.91380031,4110.645281552673,-13.379489529025234,193586377.8658549,193910204.38695773,9.994829537515487e-10,2.3051771254207534e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.5,10.0,160,8,1,157471.17490676366,513.9726933552328,-10.347081507941116,353016.65381253225,355182.51679785294,1.8003945176487584e-05,7.392802009374891e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.5,25.0,160,8,3,157468.01987062112,513.9685682240647,-10.347064184255883,353016.6538125799,355182.5167919783,8.124542293555719e-07,7.392950131879723e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.5,50.0,160,8,5,157467.8919350624,513.9684008255307,-10.347063481779477,353016.6538125905,355182.51679174695,1.2384578931823524e-07,5.544717103738654e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.5,100.0,160,8,10,157467.87243332702,513.9683753034764,-10.347063374698102,353016.65381242795,355182.5167915478,1.665766778013933e-08,9.241196317381008e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,1.0,10.0,160,8,1,3546.8354758148616,64.25101737904487,-7.067360708172472,258.38328518828916,282.8125285203695,0.00024480694997526076,2.5642427114947526e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,1.0,25.0,160,8,3,3545.868203689747,64.24288541522988,-7.067124877919361,258.38328520207267,282.81068416605535,1.1192479025211118e-05,2.5649422074586116e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,1.0,50.0,160,8,5,3545.828516634251,64.242551454492,-7.0671152004594235,258.3832851796312,282.81060829207587,1.709168300388712e-06,1.2824854579208937e-16,healthy
