center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status,tail_edge
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.125,50.0,320,12,16,27076597.767153945,5540.867058466998,-10.199650146102272,5034.462540206423,5586.630532752786,3.252161188679832e-08,1.487276520952882e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.125,200.0,320,12,64,27076598.758277006,5540.867153745918,-10.199650167917646,5034.462635481883,5586.495878773037,5.047843841472019e-10,1.4859006325929272e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.5,100.0,320,12,32,1259386.1103039172,1144.2811493273712,-8.37116702801317,1144.2827347238663,1222.04793140183,7.574021608624436e-08,8.411871625052038e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.125,100.0,320,12,32,27076598.647728577,5540.86714311861,-10.19965016548439,5034.462624854983,5586.638888677145,4.082803389673126e-09,1.4872764725842522e-13,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.25,50.0,320,12,16,24774561.25699611,5072.342580368702,-10.146696179841603,4928.866641384851,5057.39710172527,6.802107974998032e-08,4.135107869116066e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.5,50.0,320,12,16,1259385.3506208588,1144.2808108025283,-8.3711666685099,1144.2823961990737,1222.016286706331,6.032169579677108e-07,8.411876699238711e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.25,100.0,320,12,32,24774562.94218863,5072.34274966498,-10.146696220380575,4928.866810675026,5057.519942783305,8.53971254476261e-09,4.150144342706443e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.25,200.0,320,12,64,24774563.15375628,5072.342770919374,-10.146696225470041,4928.866831928607,5057.46897845369,1.0558299418815092e-09,4.135107552528934e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.125,500.0,320,12,160,27076598.772899106,5540.867155151543,-10.199650168239488,5034.462636887492,5586.654670592824,2.5825640896811096e-11,1.487276465708825e-13,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.25,500.0,320,12,160,24774563.181740277,5072.342773730616,-10.146696226143225,4928.866834739813,5057.483637827216,5.4018338386451274e-11,4.1501443025776256e-14,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.5,500.0,320,12,160,1259386.2183072073,1144.2811974551414,-8.37116707912333,1144.282782851629,1222.0421593588806,4.791168720312901e-10,8.356408018582016e-14,reject_tail_edge,True
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,0.5,200.0,320,12,64,1259386.2056901006,1144.2811918327816,-8.371167073152565,1144.2827772292696,1222.0159893763355,9.364635828961204e-09,8.374895730845242e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,1.0,50.0,320,12,16,26095.906201279133,163.33124982352564,-6.060803614746972,160.64108783040683,161.55710379071104,8.376719644444934e-06,2.3838772687732528e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.05,1.0,100.0,320,12,32,26095.687603189017,163.33057323355052,-6.0607986223975985,160.64041122496855,161.5566598183984,1.0523066747122998e-06,2.411779077053154e-14,healthy,False
small_gap_midpoint,1329.1242683910016,5.354398493117666,0.1,0.25,50.0,320,12,16,26158497.3569995,5449.275280487318,-10.179091506353128,962396.6913078629,964449.849843858,6.616835381306453e-08,2.3725879787874677e-13,healthy,False
