center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
zero,14.134725141734695,2.8411071144470976,0.2,0.5,10.0,96,6,1,80242.91943514779,366.83633592952197,-10.814863820384694,18744.24893387691,19026.120855755715,3.1834048160116755e-06,3.2642689966221677e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,0.5,25.0,96,6,2,80242.66398945161,366.83586797852155,-10.814860771707458,18744.2489338771,19026.120846761736,6.143754954817491e-07,3.62697709793877e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.2,1.0,10.0,96,6,1,1807.3684501563366,45.86328987282248,-7.182217643651653,52.15756653402111,77.45430462856507,4.367494362081986e-05,6.290186027745597e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.2,1.0,25.0,96,6,2,1807.289513441174,45.862360051091336,-7.182175816265606,52.15756653414251,77.45375419861263,8.463876587258855e-06,7.548552915917738e-16,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.5,10.0,96,6,1,34973.69278962641,366.3467658996871,-10.019549408133079,743152.0483668201,745228.051444833,2.454129899830242e-06,1.4562861178442928e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,0.5,25.0,96,6,2,34973.60695964123,366.3462984149127,-10.019547057867355,743152.0483668284,745228.0514446343,4.739861857596551e-07,1.6643310763067066e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,1.0,10.0,96,6,1,1026.264609847663,45.84798199243788,-6.640224125079121,7001.385815136619,7060.524014765191,5.3296443920364606e-05,1.1077731476923044e-15,healthy
zero,14.134725141734695,2.8411071144470976,0.5,1.0,25.0,96,6,2,1026.2099135934368,45.847053094085034,-6.640173082960351,7001.385815151717,7060.524008929458,1.0321949277038001e-05,1.1078321912085563e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.5,10.0,96,6,1,157471.17490676336,513.8892352338981,-10.347081507941114,26258.2160112802,26653.08132908323,1.8003945176672437e-05,6.2838817079686346e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.2,0.5,25.0,96,6,3,157468.01987062083,513.8851115164964,-10.347064184255883,26258.216011284163,26653.0812501717,8.124542293555734e-07,6.284007612097741e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.2,1.0,10.0,96,6,1,3546.8354758148625,64.248409030515,-7.067360708172472,73.0658589421081,108.5032464653196,0.0002448069499755171,2.5642427114947516e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.2,1.0,25.0,96,6,3,3545.8682036897476,64.2402798262089,-7.067124877919361,73.06585894832003,108.49843905473914,1.119247902508287e-05,3.8474133111879155e-16,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.5,10.0,96,6,1,68633.45119019167,513.2034123107483,-9.629034912342528,1041057.8244111065,1043966.0304136554,1.3856673459956848e-05,1.0813206443460459e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,0.5,25.0,96,6,3,68632.39263719747,513.1992939046614,-9.629021576735818,1041057.8244119385,1043966.0304125141,6.267743209893426e-07,1.0813373221152709e-14,healthy
zero,21.022039638771556,3.1789717272338245,0.5,1.0,10.0,96,6,1,2013.9732578966623,64.22696471278148,-6.578023919033057,9808.016408733874,9890.861212270667,0.00029913413078207457,7.225475895129049e-15,healthy
zero,21.022039638771556,3.1789717272338245,0.5,1.0,25.0,96,6,3,2013.3022410962446,64.2188458756546,-6.577735791529696,9808.016410260332,9890.861163581234,1.3649798727768232e-05,7.227884085820778e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.5,10.0,96,6,1,209013.39551523927,592.0468117712842,-10.17665556059037,30251.836400550277,30706.756909592987,1.931532496002368e-05,1.5316823796622595e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.5,25.0,96,6,3,209009.3583535839,592.0422301124662,-10.176639514480778,30251.836400553468,30706.7568218514,1.3827418830696554e-06,1.670958507465395e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,1.0,10.0,96,6,1,4707.757636106437,74.01996990767992,-7.025515171224763,84.17846857096667,125.00553958507328,0.00026338359923249355,1.5455251048567202e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,1.0,25.0,96,6,3,4706.517689955925,74.01092156527508,-7.025296339910779,84.17846857564416,125.0001886355151,1.9039017319370962e-05,1.5459322780642864e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.5,10.0,96,6,1,91098.01008143333,591.2566818225495,-9.486759753301904,1199392.6386327818,1202743.1546072983,1.4873721986589833e-05,1.964791076653736e-14,healthy
zero,25.01085758014569,3.3325922057310575,0.5,0.5,25.0,96,6,3,91096.65511495784,591.2521042091437,-9.486747397059206,1199392.6386334056,1202743.1546058003,1.0666282869063354e-06,1.9488461520572896e-14,healthy
zero,25.01085758014569,3.3325922057310575,0.5,1.0,10.0,96,6,1,2673.1710699377472,73.99526411687083,-6.555362675204839,11299.720730576788,11395.16542652076,0.00032169462496374295,6.294266824902833e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.5,1.0,25.0,96,6,3,2672.3111251729397,73.98622367441942,-6.55509538859066,11299.720731734165,11395.16537166367,2.3220880302025635e-05,6.2962923082956116e-15,healthy
zero,30.424876125859512,3.5093004169485145,0.2,0.5,10.0,96,6,2,284951.5046787994,691.2860691389983,-10.004705388817754,35323.75503326379,35854.94554350523,3.58134089938119e-06,1.0826424769685727e-14,healthy
zero,30.424876125859512,3.5093004169485145,0.2,0.5,25.0,96,6,3,284950.4841703214,691.2850757558414,-10.004702536101762,35323.75503326455,35854.94552444359,1.9304504891501225e-06,1.1030736439979059e-14,healthy
zero,30.424876125859512,3.5093004169485145,0.2,1.0,10.0,96,6,2,6412.056174369934,86.38870015341382,-6.982490539758532,98.29154078738556,145.9392196836234,4.913859931511294e-05,3.404192391482775e-15,healthy
zero,30.424876125859512,3.5093004169485145,0.2,1.0,25.0,96,6,3,6411.741094910795,86.38672708338277,-6.982451397530766,98.29154078745773,145.9380536786683,2.658609734068789e-05,3.404359676948865e-15,healthy
zero,30.424876125859512,3.5093004169485145,0.5,0.5,10.0,96,6,2,124197.68445230124,690.3635155552546,-9.343216277639458,1400478.6749394643,1404390.9268578251,2.760427832622396e-06,1.066223006991684e-14,healthy
zero,30.424876125859512,3.5093004169485145,0.5,0.5,25.0,96,6,3,124197.34161355633,690.3625211512121,-9.34321407882242,1400478.674939485,1404390.9268574077,1.4889577739462217e-06,1.0896594875991972e-14,healthy
zero,30.424876125859512,3.5093004169485145,0.5,1.0,10.0,96,6,2,3640.0675721150783,86.35994154069604,-6.53150263471754,13194.193034700771,13305.639398754814,5.996726388365336e-05,2.7484219787955978e-15,healthy
zero,30.424876125859512,3.5093004169485145,0.5,1.0,25.0,96,6,3,3639.849287222427,86.3579664499859,-6.531454866465217,13194.193034738872,13305.639386418703,3.2426217787462256e-05,2.623651040206428e-15,healthy
zero,32.93506158773919,3.581713464783949,0.2,0.5,10.0,96,6,2,322103.40315976157,734.9701862207451,-9.94059984392978,37555.86238748085,38120.618848380174,6.055468170928801e-06,1.9697510108022413e-14,healthy
zero,32.93506158773919,3.581713464783949,0.2,0.5,25.0,96,6,3,322101.452672856,734.9684004038555,-9.94059509766042,37555.86238748118,38120.618814156514,1.8032343649107577e-06,1.9516917190184795e-14,healthy
zero,32.93506158773919,3.581713464783949,0.2,1.0,10.0,96,6,2,7248.588868467675,91.85096710729779,-6.966824195776299,104.50258117489791,155.16309927291667,8.291103189296714e-05,6.650014239827463e-15,healthy
zero,32.93506158773919,3.581713464783949,0.2,1.0,25.0,96,6,3,7247.987880484822,91.84742745380578,-6.966759207702371,104.5025811755199,155.16100828556932,2.4843586526464427e-05,6.776048015749802e-15,healthy
zero,32.93506158773919,3.581713464783949,0.5,0.5,10.0,96,6,2,140390.3461456341,733.9893316933144,-9.289699228430976,1488974.893608881,1493134.360647764,4.665703386955211e-06,2.4876779284988216e-15,healthy
zero,32.93506158773919,3.581713464783949,0.5,0.5,25.0,96,6,3,140389.6911259206,733.9875437838159,-9.289695571460282,1488974.893608958,1493134.360647051,1.39094614425771e-06,2.28038207404362e-15,healthy
zero,32.93506158773919,3.581713464783949,0.5,1.0,10.0,96,6,2,4115.033950060661,91.82038224960267,-6.523070161938921,14027.93380827265,14146.422488304168,0.00010121360985538984,5.746456173404697e-15,healthy
zero,32.93506158773919,3.581713464783949,0.5,1.0,25.0,96,6,3,4114.617452619897,91.81683846702822,-6.522990827046943,14027.933808421341,14146.422466410253,3.0299132305357207e-05,5.968077769230567e-15,healthy
