zone,center_type,m0,c_I,kappa,W_factor,nquad,R_jet,Q,E_I,S_I,B_eff,local_zero_count,J_max,J_rms,J_0,J_1,J_2,J_3,J_4,tail_drift_rel,quad_drift_rel,status,param_hash
2118.31,zero_ordinate,2114.39613732589,0.2,0.5,40.0,401,4,5.818647470037356,5915681.829501764,3150.81669020406,-8.854353565819206,15,18155463.598072466,8119652.197785531,-3150.8166902034604,-0.37657995928915505,151296.65044723664,-0.42570269818637607,-18155463.598072466,4.954988631119458e-08,6.222471586853616e-06,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2114.39613732589,0.5,0.5,40.0,401,4,5.818647470037356,2578920.1399634033,3150.81669020406,-8.382914600394422,15,18155463.598072466,8119652.197785531,-3150.8166902034604,-0.37657995928915505,151296.65044723664,-0.42570269818637607,-18155463.598072466,3.819213726545219e-08,4.996057528730719e-10,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2115.506602794684,0.2,0.5,40.0,401,4,5.819172524896785,5921906.613797717,3152.3122787388647,-8.85449707797089,15,18160379.54820314,8121850.752139149,-3152.3122787382667,-0.14269730234207878,151337.13440088162,-0.11418205093168281,-18160379.54820314,7.484960874117428e-08,6.223120255619571e-06,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2115.506602794684,0.5,0.5,40.0,401,4,5.819172524896785,2581314.741581371,3152.3122787388647,-8.383012085425088,15,18160379.54820314,8121850.752139149,-3152.3122787382667,-0.14269730234207878,151337.13440088162,-0.11418205093168281,-18160379.54820314,5.773104557093144e-08,3.891144012506535e-11,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2116.900056068394,0.2,0.5,40.0,401,4,5.819830993440274,5922278.739500394,3152.6074732159814,-8.853963919204821,15,18166543.64135228,8124607.51698143,-3152.6074732153807,0.8484621414882549,151389.27591807838,1.0913066304263868,-18166543.64135228,0.0,6.2223370019110885e-06,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2116.900056068394,0.5,0.5,40.0,401,4,5.819830993440274,2581869.359506043,3152.6074732159814,-8.382595516670753,15,18166543.64135228,8124607.51698143,-3152.6074732153807,0.8484621414882549,151389.27591807838,1.0913066304263868,-18166543.64135228,0.0,8.035058413586677e-10,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2117.722399441363,0.2,0.5,40.0,401,4,5.8202193838537974,5921642.391087315,3152.599227378128,-8.853567452792893,15,18170180.170760665,8126233.880741385,-3152.599227377527,-0.2907116939564141,151420.09694767217,-0.4887127398901722,-18170180.170760665,0.0,6.22168979153732e-06,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2117.722399441363,0.5,0.5,40.0,401,4,5.8202193838537974,2581911.642580982,3152.599227378128,-8.38228721535596,15,18170180.170760665,8126233.880741385,-3152.599227377527,-0.2907116939564141,151420.09694767217,-0.4887127398901722,-18170180.170760665,0.0,1.323876699109746e-09,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2118.618646217029,0.2,0.5,40.0,401,4,5.820642506911822,5924563.31712662,3153.3584024237066,-8.853482021682497,15,18174143.530063324,8128006.410128721,-3153.35840242311,0.2141733251485221,151453.03052761353,0.35654261584487507,-18174143.530063324,0.0,6.221762453579762e-06,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2118.618646217029,0.5,0.5,40.0,401,4,5.820642506911822,2583147.909578102,3153.3584024237066,-8.382213038259676,15,18174143.530063324,8128006.410128721,-3153.35840242311,0.2141733251485221,151453.03052761353,0.35654261584487507,-18174143.530063324,0.0,1.2257634077267253e-09,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2119.45642846894,0.2,0.5,40.0,401,4,5.821037866714591,5929680.38050981,3154.5751099875847,-8.853630754169494,15,18177847.895878013,8129663.108696173,-3154.5751099869835,-0.718082973903918,151483.42303849623,-0.9195054927683355,-18177847.895878013,0.0,6.222343250173515e-06,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2119.45642846894,0.5,0.5,40.0,401,4,5.821037866714591,2585091.1769914106,3154.5751099875847,-8.382316741935227,15,18177847.895878013,8129663.108696173,-3154.5751099869835,-0.718082973903918,151483.42303849623,-0.9195054927683355,-18177847.895878013,0.0,7.439259422563947e-10,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2120.691562591844,0.2,0.5,40.0,401,4,5.821620456831938,5937896.61863474,3156.5106369544833,-8.853913792796575,15,18183307.708166685,8132104.892794427,-3156.5106369538844,-0.10818173600031294,151528.0951569089,-0.06444425963307038,-18183307.708166685,0.0,6.2233398961441075e-06,healthy,bfb6a801d2e7
2118.31,zero_ordinate,2120.691562591844,0.5,0.5,40.0,401,4,5.821620456831938,2588178.4110974385,3156.5106369544833,-8.382518063161758,15,18183307.708166685,8132104.892794427,-3156.5106369538844,-0.10818173600031294,151528.0951569089,-0.06444425963307038,-18183307.708166685,0.0,9.201466065049697e-11,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2114.951370060287,0.2,0.5,40.0,401,4,5.818910031927396,106.79840404226718,10.581353679575482,-2.652267672337708,15,62.52627329880008,29.40935172943453,10.215441542534911,-0.04587660624149704,17.62547179506388,-0.01966014214736802,62.52627329880008,1.4813485415400031e-05,8.932719903283428e-07,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2114.951370060287,0.5,0.5,40.0,401,4,5.818910031927396,121.12974690442373,12.613054963850493,-2.723767501776855,15,62.52627329880008,29.40935172943453,10.215441542534911,-0.04587660624149704,17.62547179506388,-0.01966014214736802,62.52627329880008,1.3884505486996405e-05,6.6360810803084494e-06,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2116.203329431539,0.2,0.5,40.0,401,4,5.819501813366131,19.12075000337865,4.442964245338666,-1.6754199256125208,15,11.33015711320956,5.838856916542557,4.340333901054542,0.027099599776278366,4.8217650115443025,0.011817857965845741,11.33015711320956,0.0,5.683695377864558e-07,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2116.203329431539,0.5,0.5,40.0,401,4,5.819501813366131,20.713021321129002,4.987356818772298,-1.7208365467221336,15,11.33015711320956,5.838856916542557,4.340333901054542,0.027099599776278366,4.8217650115443025,0.011817857965845741,11.33015711320956,0.0,3.990578594503593e-06,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2117.3112277548785,0.2,0.5,40.0,401,4,5.820025207502924,1034.433425383185,33.44216351467075,-3.9411747227752607,15,539.4683197415741,245.21939276566437,31.530638189138443,0.07882330198793609,92.9650244344711,0.042557954808853354,539.4683197415741,0.0,1.5611954698526602e-06,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2117.3112277548785,0.5,0.5,40.0,401,4,5.820025207502924,1289.3817540579962,44.708562183420185,-4.0662575631963565,15,539.4683197415741,245.21939276566437,31.530638189138443,0.07882330198793609,92.9650244344711,0.042557954808853354,539.4683197415741,0.0,1.2794343542366084e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,gap_midpoint,2118.1705228291958,0.2,0.5,40.0,401,4,5.820430967761951,550.589988645822,24.25621940060414,-3.5829922008380897,15,295.7223161476133,135.1896013396646,23.06945217840102,-0.005561996289111982,58.28596409316491,-0.004377351540018741,295.7223161476133,0.0,1.3279688673702149e-06,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2118.1705228291958,0.5,0.5,40.0,401,4,5.820430967761951,664.098313575657,31.182926373462944,-3.68940898591029,15,295.7223161476133,135.1896013396646,23.06945217840102,-0.005561996289111982,58.28596409316491,-0.004377351540018741,295.7223161476133,0.0,1.055567450055172e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,gap_midpoint,2119.0375373429843,0.2,0.5,40.0,401,4,5.820840206351878,901.0486748237904,31.17309061779762,-3.8624883319346353,15,474.1409822498343,215.75102089617872,29.446379512207443,-0.0675781392379027,84.05800887315917,-0.0367556405912819,474.1409822498343,0.0,1.5090574924561538e-06,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2119.0375373429843,0.5,0.5,40.0,401,4,5.820840206351878,1114.9060552377784,41.31917385403666,-3.983392584997816,15,474.1409822498343,215.75102089617872,29.446379512207443,-0.0675781392379027,84.05800887315917,-0.0367556405912819,474.1409822498343,0.0,1.22850972036039e-05,reject_quad_unstable,bfb6a801d2e7
2118.31,gap_midpoint,2120.073995530392,0.2,0.5,40.0,401,4,5.82132920419967,47.22433394510087,7.012233935577575,-2.1883886885979096,15,28.200487769580853,13.667764407504167,6.807278451227033,-0.05376855119581803,9.61399980256102,-0.022042677435103627,28.200487769580853,0.0,7.267871066436096e-07,healthy,bfb6a801d2e7
2118.31,gap_midpoint,2120.073995530392,0.5,0.5,40.0,401,4,5.82132920419967,52.31459100772149,8.11290416709129,-2.2465007216712816,15,28.200487769580853,13.667764407504167,6.807278451227033,-0.05376855119581803,9.61399980256102,-0.022042677435103627,28.200487769580853,0.0,5.247338886771132e-06,healthy,bfb6a801d2e7
2118.31,large_gap_midpoint,2116.203329431539,0.2,0.5,40.0,401,4,5.819501813366131,19.12075000337865,4.442964245338666,-1.6754199256125208,15,11.33015711320956,5.838856916542557,4.340333901054542,0.027099599776278366,4.8217650115443025,0.011817857965845741,11.33015711320956,0.0,5.683695377864558e-07,healthy,bfb6a801d2e7
2118.31,large_gap_midpoint,2116.203329431539,0.5,0.5,40.0,401,4,5.819501813366131,20.713021321129002,4.987356818772298,-1.7208365467221336,15,11.33015711320956,5.838856916542557,4.340333901054542,0.027099599776278366,4.8217650115443025,0.011817857965845741,11.33015711320956,0.0,3.990578594503593e-06,healthy,bfb6a801d2e7
2118.31,large_gap_midpoint,2120.073995530392,0.2,0.5,40.0,401,4,5.82132920419967,47.22433394510087,7.012233935577575,-2.1883886885979096,15,28.200487769580853,13.667764407504167,6.807278451227033,-0.05376855119581803,9.61399980256102,-0.022042677435103627,28.200487769580853,0.0,7.267871066436096e-07,healthy,bfb6a801d2e7
2118.31,large_gap_midpoint,2120.073995530392,0.5,0.5,40.0,401,4,5.82132920419967,52.31459100772149,8.11290416709129,-2.2465007216712816,15,28.200487769580853,13.667764407504167,6.807278451227033,-0.05376855119581803,9.61399980256102,-0.022042677435103627,28.200487769580853,0.0,5.247338886771132e-06,healthy,bfb6a801d2e7
