center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
gap_midpoint,17.578382390253125,1.0287928074078119,0.5,1.0,50.0,257,4,15,0.00485778181281399,0.07686884544741587,187.66848947622483,0.06636336844565263,0.031211546886090503,0.00017633790107597655,7.320590472737696e-15,reject_tail_edge
gap_midpoint,23.01644860945862,1.2983320508499252,0.5,1.0,50.0,257,4,14,0.1565796499170975,0.44914384233054316,7.1019901646673285,0.3687045627856535,0.18241657786722584,4.008260283428218e-05,1.0281178854077222e-14,reject_tail_edge
gap_midpoint,27.7178668530026,1.4842001515964112,0.5,1.0,50.0,257,4,14,0.018597361173835623,0.14803256108709398,10.091105797692839,0.1310372607663542,0.06052697002984372,0.00014623638410037374,6.156343813742036e-15,reject_tail_edge
gap_midpoint,31.679968856799352,1.6178075174808204,0.5,1.0,50.0,257,4,14,2.3938660948090216,1.7533176789542162,-1.8145099842222316,1.438100317986046,0.7056833917972277,1.690728915370297e-05,1.0574144066096146e-14,reject_tail_edge
gap_midpoint,48.889491679419734,2.051685412897043,0.5,1.0,50.0,257,4,16,17.182962237641455,4.59142479530347,-3.9572425932365523,3.893565159595092,2.0415772464097355,1.3968713373982081e-05,7.23652749964288e-15,reject_tail_edge
gap_midpoint,51.37207697769338,2.1012177089771042,0.5,1.0,50.0,257,4,15,0.5219657596378524,0.8011160138377753,0.8756072311616522,0.6855270420009324,0.32498378972931935,0.00011463866308046096,7.444512431014748e-15,reject_tail_edge
gap_midpoint,54.70828458738893,2.1641380865301305,0.5,1.0,50.0,257,4,16,0.2712147955282395,0.566967237844281,1.6901641167619756,0.49786473736636155,0.2321726427365432,0.00014823481216276767,6.7543069951756e-15,reject_tail_edge
gap_midpoint,57.89664584983287,2.220782386436894,0.5,1.0,50.0,257,4,16,0.9817117378918159,1.1064256513599575,0.023133845326063926,0.9374926546098705,0.4474483973784363,8.305248684365575e-05,7.803246690687697e-15,reject_tail_edge
gap_midpoint,35.26061987328244,1.7248896904762547,0.5,1.0,50.0,257,4,14,0.0456410445887446,0.23112000395874585,5.662429943713149,0.2052301740814191,0.09483631183497963,0.00016836477978082384,5.929243396833163e-15,reject_tail_edge
gap_midpoint,39.25244858548659,1.8321367602168572,0.5,1.0,50.0,257,4,15,0.4307536659475928,0.7345990002210806,1.3909870504823265,0.6182727176042998,0.29832284803165415,6.116254093471089e-05,8.505408707789758e-15,reject_tail_edge
gap_midpoint,42.12289614653125,1.9027143779069313,0.5,1.0,50.0,257,4,15,3.2645789541798287,2.060981022598919,-1.8392116385361994,1.6764922072228117,0.8294659188044833,2.7894809048627447e-05,1.0746576532706032e-14,reject_tail_edge
gap_midpoint,45.66611208104108,1.9834794264661488,0.5,1.0,50.0,257,4,16,0.039149395105507884,0.2112326592475933,4.731485813719573,0.1918398675421118,0.08740847147156494,0.0002504446791579936,4.43103519556743e-15,reject_tail_edge
