B_eff,E_I,J_max,J_rms,Q,R_jet,S_I,W_factor,c_I,center_type,kappa,local_zero_count,m0,nquad,quad_drift_rel,status,tail_drift_rel
1.4118259444966454,0.1847264223043759,0.4211716392968488,0.18981558330203957,3.3076489422616855,4,0.45282308422158346,50.0,0.5,gap_midpoint,1.0,16,171.66175649950162,257,2.554289633175634e-15,healthy,0.0007487355283972162
1.4118259444966454,0.1847264223043759,0.4211716392968488,0.18981558330203957,3.3076489422616855,4,0.45282308422158346,50.0,0.5,large_gap_midpoint,1.0,16,171.66175649950162,257,2.554289633175634e-15,healthy,0.0007487355283972162
1.1657138947200079,0.2480746695068935,0.4841910881716572,0.22227931694932773,3.3063855109106726,4,0.6075757504086,50.0,0.5,random,1.0,16,171.44501060518112,257,5.146662014532893e-15,healthy,0.000642410743522939
1.0337945645293436,0.2772571276596443,0.5152737203284953,0.23247155309256826,3.45863883251973,4,0.5500403983743231,50.0,0.5,gap_midpoint,1.0,16,199.64003080997787,257,3.603877493058505e-15,healthy,0.0007148942102331941
1.0337945645293436,0.2772571276596443,0.5152737203284953,0.23247155309256826,3.45863883251973,4,0.5500403983743231,50.0,0.5,large_gap_midpoint,1.0,16,199.64003080997787,257,3.603877493058505e-15,healthy,0.0007148942102331941
0.7700705625632075,0.4080471128278066,0.6211200713720921,0.28201006291366165,3.202762248297369,4,0.6769809175173668,50.0,0.5,gap_midpoint,1.0,17,154.56880155271838,257,1.0883282735968423e-15,healthy,0.0003629564807939659
0.4529964534639714,0.5636807276265311,0.7313591233396287,0.33139230038161144,3.544866773188823,4,0.790005329110341,50.0,0.5,gap_midpoint,1.0,16,217.61856742864256,257,5.120948300254682e-15,healthy,0.0005422362689683269
0.33541162194893526,0.6815839084432125,0.7989401915058308,0.3649335108480109,3.1357927742763865,4,0.8821971505088668,50.0,0.5,gap_midpoint,1.0,16,144.55641414719307,257,6.1897698013612896e-15,healthy,0.000325115669848485
0.31882820195757217,0.6634144397018663,0.7934508105436211,0.35951879834485,3.622171391293363,4,0.8596633038751185,50.0,0.5,gap_midpoint,1.0,16,235.10881692236225,257,3.179647020851336e-15,healthy,0.0005318173741880052
-0.17193338994355734,1.232588640478813,1.0746292588863968,0.49079063792630023,3.3745597734951347,4,1.2071601738220017,50.0,0.5,gap_midpoint,1.0,17,183.540773166377,257,8.82710199008487e-15,healthy,0.00023731550459426233
-0.2160909345259347,1.30377959005747,1.104036500723264,0.5049155413655741,3.412936697412961,4,1.2289781237839321,50.0,0.5,gap_midpoint,1.0,16,190.72140750836536,257,5.620176921317691e-15,healthy,0.00031011545541095636
-0.3355958266525254,1.4719449389185058,1.1692848668356608,0.5374165093307604,3.164310263119395,4,1.3163402209916282,50.0,0.5,gap_midpoint,1.0,16,148.73814288167225,257,7.693409278948284e-15,healthy,0.00022366468087100673
-0.36213420061587903,1.5850880489963937,1.2209190947776414,0.5561719488899143,3.568033160331244,4,1.3482916422468267,50.0,0.5,gap_midpoint,1.0,16,222.71885290464883,257,6.443838771618092e-15,healthy,0.00031110322232831116
-0.407033397780826,1.66382500720474,1.2460993950152803,0.570607280984367,3.4931517878531713,4,1.383999993305006,50.0,0.5,gap_midpoint,1.0,16,206.65047804498477,257,6.005443588333358e-15,healthy,0.0003007804816188288
-0.41462813378698343,1.663762732281142,1.2345048407525072,0.5802742563189671,3.4137219789892583,4,1.6433288582481043,50.0,0.5,random,1.0,17,190.87123633709706,257,7.073342750556362e-15,healthy,0.00021339974432902126
-0.4854503659872568,1.7757508885396474,1.28131762543286,0.5911175786543483,3.263718898059457,4,1.4367514856537313,50.0,0.5,gap_midpoint,1.0,16,164.2838894375412,257,4.126407600196694e-15,healthy,0.00022614236909465423
-0.5525152766374145,2.0242626540216415,1.374173558101364,0.6294554568134296,3.583553038661105,4,1.5342486323281928,50.0,0.5,gap_midpoint,1.0,16,226.20238447463078,257,5.703963086589743e-15,healthy,0.000284078659229469
-0.9438762110492913,3.030850729630962,1.6661553615241618,0.7753471325189389,3.2374184673821538,4,1.899759785398806,50.0,0.5,gap_midpoint,1.0,16,160.01947615450825,257,8.20528556833004e-15,healthy,0.00016706113131822968
