run_id,timestamp,config_name,stage,R,Q,lambda_,c,u_min,u_max,u0,L,num_primes,alpha,m,lambda_u0,lambda_L,op_node_min,op_node_max,diam_x,eta_Z,log_eta_Z,eta_W,log_eta_W,eta_sv,rho_rank_2,rho_rank_inf,kappa_basis,gram_error,eta_E2_det,row_norm_min,row_norm_max,sigma_min,sigma_max,objective_value,collapse_class,notes,k_Z,k_q,source_mode,smoothing,conductor_policy,dual_type,dual_node_convention,num_dual_terms,E2_model,E2_trials,eta_W_median_perturbed,eta_W_worst_perturbed,eta_W_best_perturbed,survives_E2
bcba305f,2026-04-27 06:16:10,06_full_larger_toy,relaxed,4,52.0,0.019230769230769232,0.2,10.4,23.4,16.9,12.999999999999998,8000,0.019230769230769232,nan,0.325,0.24999999999999997,nan,nan,2.0,0.07608929361539334,-2.5758477123774295,0.10960746499722941,-2.210849795499101,0.07752936501029378,1.924895970992457e-06,1.569169718099693e-09,3.147413467808405,4.438183451168301e-15,nan,0.0003840017065110807,0.0012514589342454514,0.00011143425024151267,0.0014373166893178763,0.017803376986008406,no_collapse,phase-relaxed negative control,0,3,script_kq3,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:16:30,06_full_larger_toy,main_orbit,4,52.0,0.019230769230769232,0.2,10.4,23.4,16.9,12.999999999999998,8000,0.019230769230769232,2114.8574287143574,0.325,0.24999999999999997,nan,nan,2.0,0.0139896127780269,-4.269440169170513,1.5846892667609594e-07,-15.657707309056242,1.7055156086229468e-07,1.924895970992457e-06,1.569169718099693e-09,3.147413467808405,4.438183451168301e-15,nan,0.00035020444101038523,0.000993431498674103,1.8425445928446657e-10,0.0010803446087088923,0.00019570926570424592,no_collapse,main-only orbit,0,3,script_kq3,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:16:52,06_full_larger_toy,b2,4,52.0,0.019230769230769232,0.2,10.4,23.4,16.9,12.999999999999998,8000,0.019230769230769232,2114.8574287143574,0.325,0.24999999999999997,nan,nan,2.0,0.0139896127780269,-4.269440169170513,0.0005018214946245907,-7.59726608990632,0.015904648553939832,1.924895970992457e-06,1.569169718099693e-09,3.147413467808405,4.438183451168301e-15,nan,0.000993431498674103,0.0019276976343954174,6.370768313908013e-05,0.004005601439291077,0.0001959610904916008,no_collapse,+B2 canonical injection,0,3,script_kq3,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:17:31,06_full_larger_toy,formal_dual,4,52.0,0.019230769230769232,0.2,10.4,23.4,16.9,12.999999999999998,8000,0.019230769230769232,2731.365682841421,0.325,0.24999999999999997,nan,nan,2.0,0.010931165781559993,-4.516137323601198,0.008846342745664388,-4.727751154450701,0.0019890638832348235,0.06087709933266449,2.4255698219941002e-05,201.03186564494587,5.578444497630759e-15,nan,0.00015739677880130472,0.0008174812829929866,1.6673856483383197e-06,0.0008382765693913475,0.00019774816531771704,no_collapse,reflected log-derivative dual (plateau),0,3,script_kq3,bump,cover_block,reflected_logderiv,operator_signed,16000,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:18:11,06_full_larger_toy,actual_like_dual,4,52.0,0.019230769230769232,0.2,10.4,23.4,16.9,12.999999999999998,8000,0.019230769230769232,2731.365682841421,0.325,0.24999999999999997,nan,nan,2.0,0.010931165781559993,-4.516137323601198,0.008846342745664388,-4.727751154450701,0.0019890638832348235,0.06087709933266449,2.4255698219941002e-05,201.03186564494587,5.578444497630759e-15,nan,0.00015739677880130472,0.0008174812829929866,1.6673856483383197e-06,0.0008382765693913475,0.00019774816531771704,no_collapse,reflected log-derivative dual (configured smoothing),0,3,script_kq3,bump,cover_block,reflected_logderiv,operator_signed,16000,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:18:11,06_full_larger_toy,e2,4,52.0,0.019230769230769232,0.2,10.4,23.4,16.9,12.999999999999998,8000,0.019230769230769232,2731.365682841421,0.325,0.24999999999999997,nan,nan,2.0,0.010931165781559993,-4.516137323601198,0.008846342745664388,-4.727751154450701,0.0019890638832348235,0.06087709933266449,2.4255698219941002e-05,201.03186564494587,5.578444497630759e-15,nan,0.00015739677880130472,0.0008174812829929866,1.6673856483383197e-06,0.0008382765693913475,0.00019774816531771704,no_collapse,E2 row perturbation on actual_like_dual,0,3,script_kq3,bump,cover_block,reflected_logderiv,operator_signed,16000,row_perturbation,500,0.0088463427040688,0.008846352513176097,0.008846333097366878,True
bcba305f,2026-04-27 06:16:10,06_full_larger_toy,relaxed,4,52.0,0.019230769230769232,0.1,5.2,18.2,11.7,13.0,8000,0.15384615384615385,nan,0.225,0.25,nan,nan,2.0,0.09655506743685414,-2.3376417863802565,0.0009108899899787766,-7.001088425428819,0.015031943400298634,0.024506632276355158,0.00010648533115035401,16.246988500345978,4.084642011923882e-15,nan,0.0004540543052117342,0.004186343691171797,0.00010129366424060205,0.006738560779745198,0.009323710768309294,no_collapse,phase-relaxed negative control,0,3,script_kq3,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:16:30,06_full_larger_toy,main_orbit,4,52.0,0.019230769230769232,0.1,5.2,18.2,11.7,13.0,8000,0.15384615384615385,85.84292146073037,0.225,0.25,nan,nan,2.0,0.01165421908303316,-4.452087011481958,0.00011324524765850875,-9.08595475776189,0.0011112798481968153,0.024506632276355158,0.00010648533115035401,16.246988500345978,4.084642011923882e-15,nan,0.0005450146464390742,0.002169249828332755,3.667269589209095e-06,0.0033000414748451342,0.00013583364692145152,no_collapse,main-only orbit,0,3,script_kq3,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:16:52,06_full_larger_toy,b2,4,52.0,0.019230769230769232,0.1,5.2,18.2,11.7,13.0,8000,0.15384615384615385,85.84292146073037,0.225,0.25,nan,nan,2.0,0.01165421908303316,-4.452087011481958,0.00021337500710511312,-8.452459343550956,0.007610146945761936,0.024506632276355158,0.00010648533115035401,16.246988500345978,4.084642011923882e-15,nan,0.002169249828332755,0.004223923906904768,6.464702661145812e-05,0.008494846035457939,0.0001358663513289914,no_collapse,+B2 canonical injection,0,3,script_kq3,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:17:32,06_full_larger_toy,formal_dual,4,52.0,0.019230769230769232,0.1,5.2,18.2,11.7,13.0,8000,0.15384615384615385,3236.0180090045023,0.225,0.25,nan,nan,2.0,0.011972916145418773,-4.425108167911915,0.002131414195820386,-6.150969577872871,0.001885542459990644,3.774120258923725,0.0072074635148715906,11.046904133602085,6.638172425654789e-15,nan,0.00021304700938418284,0.012706628786306039,2.3999869999745756e-05,0.012728363592440577,0.0001478936474993742,no_collapse,reflected log-derivative dual (plateau),0,3,script_kq3,bump,cover_block,reflected_logderiv,operator_signed,16000,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:18:12,06_full_larger_toy,actual_like_dual,4,52.0,0.019230769230769232,0.1,5.2,18.2,11.7,13.0,8000,0.15384615384615385,3236.0180090045023,0.225,0.25,nan,nan,2.0,0.011972916145418773,-4.425108167911915,0.002131414195820386,-6.150969577872871,0.001885542459990644,3.774120258923725,0.0072074635148715906,11.046904133602085,6.638172425654789e-15,nan,0.00021304700938418284,0.012706628786306039,2.3999869999745756e-05,0.012728363592440577,0.0001478936474993742,no_collapse,reflected log-derivative dual (configured smoothing),0,3,script_kq3,bump,cover_block,reflected_logderiv,operator_signed,16000,,0,nan,nan,nan,False
bcba305f,2026-04-27 06:18:12,06_full_larger_toy,e2,4,52.0,0.019230769230769232,0.1,5.2,18.2,11.7,13.0,8000,0.15384615384615385,3236.0180090045023,0.225,0.25,nan,nan,2.0,0.011972916145418773,-4.425108167911915,0.002131414195820386,-6.150969577872871,0.001885542459990644,3.774120258923725,0.0072074635148715906,11.046904133602085,6.638172425654789e-15,nan,0.00021304700938418284,0.012706628786306039,2.3999869999745756e-05,0.012728363592440577,0.0001478936474993742,no_collapse,E2 row perturbation on actual_like_dual,0,3,script_kq3,bump,cover_block,reflected_logderiv,operator_signed,16000,row_perturbation,500,0.0021314141941129374,0.002131414641729993,0.002131413847699305,True
bcba305f,2026-04-27 06:16:10,06_full_larger_toy,relaxed,4,52.0,0.019230769230769232,0.3,15.6,28.6,22.1,13.000000000000002,8000,0.004807692307692308,nan,0.42500000000000004,0.25000000000000006,nan,nan,2.0,0.03888285392007995,-3.2472018987895512,0.04967279129271409,-3.0022979546890056,0.03926206778620365,2.7259576850398496e-16,3.7947076036992655e-19,2.912358472933838,4.135176985696666e-15,nan,0.0006216260443989429,0.0020392839570394844,0.00011104450392628157,0.002828289751089005,0.00397926252377981,degenerate,phase-relaxed negative control,0,3,script_kq3,bump,cover_block,,operator_signed,0,,0,nan,nan,nan,False
